10.0.76.2	192.168.255.50	.	192.168.255.50	yes
10.0.76.1	192.168.255.51	1	192.168.255.51	yes
10.0.57.1	192.168.255.52	co	192.168.255.52	yes
10.0.36.1	192.168.255.53	be	192.168.255.53	yes
10.0.35.1	192.168.255.54	ro	192.168.255.54	yes
10.0.96.1	192.168.255.55	za	192.168.255.55	yes
10.0.7.1	192.168.255.56	br	192.168.255.56	yes
10.0.33.1	192.168.255.57	tv	192.168.255.57	yes
10.0.103.1	192.168.255.58	by	192.168.255.58	yes
10.0.0.1	192.168.255.59	fr	192.168.255.59	yes
10.0.63.1	192.168.255.60	fm	192.168.255.60	yes
10.0.32.1	192.168.255.61	la	192.168.255.61	yes
10.0.82.1	192.168.255.62	re	192.168.255.62	yes
10.0.9.1	192.168.255.63	fi	192.168.255.63	yes
10.0.31.1	192.168.255.64	tw	192.168.255.64	yes
10.0.47.1	192.168.255.65	sa	192.168.255.65	yes
10.0.46.1	192.168.255.66	ca	192.168.255.66	yes
10.0.81.1	192.168.255.67	li	192.168.255.67	yes
10.0.95.1	192.168.255.68	rs	192.168.255.68	yes
10.0.37.1	192.168.255.69	dk	192.168.255.69	yes
10.0.94.1	192.168.255.70	no	192.168.255.70	yes
10.0.80.1	192.168.255.71	qa	192.168.255.71	yes
10.0.15.1	192.168.255.72	tr	192.168.255.72	yes
10.0.20.1	192.168.255.73	to	192.168.255.73	yes
10.0.85.1	192.168.255.74	eu	192.168.255.74	yes
10.0.28.1	192.168.255.75	ms	192.168.255.75	yes
10.0.4.1	192.168.255.76	lk	192.168.255.76	yes
10.0.42.1	192.168.255.77	ua	192.168.255.77	yes
10.0.93.1	192.168.255.78	pt	192.168.255.78	yes
10.0.79.1	192.168.255.79	th	192.168.255.79	yes
